Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
"FK2,40E / HE, 2, 60H, KLA, L30, 3.90",500121GX,,,,NANNI DIESEL,Inboard_Engines
"FK3, 2.45H2, 2.50HE. 2.60HE, 3.75HE, 3.90H/HE, 4.110.H",500146X,,,,NANNI DIESEL,Inboard_Engines
"3.100HE, 3.110HE, 4.110HE, 4.150HE, 4.180",500107GT,,,,NANNI DIESEL,Inboard_Engines
"4.190HE, 4.200HE, MB180, 220,330",500107GT,,,,NANNI DIESEL,Inboard_Engines
"4.220HE, 4.330TDI, 4.440E, 5.280HE, 5.250TDI",500114T,,,,NANNI DIESEL,Inboard_Engines
"5.300/T, 6.280HE, 6.570T, 6.660E/LE",500114T,,,,NANNI DIESEL,Inboard_Engines
"4.230, 4.240, 4.380, 5.300",500106GT,,,,NANNI DIESEL,Inboard_Engines
"1300, 1600",500135T,,,,NANNI DIESEL,Inboard_Engines
