Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
9.9 - 15 HP,500334,,,,CHRYSLER/FORCE,Outboard_Engines
25 - 35 HP,500335,,,,CHRYSLER/FORCE,Outboard_Engines
35 - 45 - 55 HP (1971 - 1984),500392,,,2 strokes/2 tempi,CHRYSLER/FORCE,Outboard_Engines
35-45-55HP (1976-1980),500342,,,,CHRYSLER/FORCE,Outboard_Engines
70HP (1979-80) all/tutti,500397,,,,CHRYSLER/FORCE,Outboard_Engines
75HP (1979) all/tutti,500397,,,,CHRYSLER/FORCE,Outboard_Engines
75-140 HP,500390,,,,CHRYSLER/FORCE,Outboard_Engines
90/120 HP - F5 150 HP - 5 Cyl (88 >),500313G,,,,CHRYSLER/FORCE,Outboard_Engines
